Temperature,Humidity,Condition
36.3536193171567,71.15537398294036,Ideal
36.07626952145713,73.35946371799365,Ideal
36.28814418008341,70.09855268877182,Ideal
36.30335752319143,70.52054290992287,Ideal
36.21206533565119,73.99958042686595,Ideal
36.36822211781236,70.89272331027166,Ideal
36.467183507384505,73.26373053925937,Ideal
36.46278425645339,71.19091390523363,Ideal
36.225419685702064,70.49720696379673,Ideal
36.05661902292038,71.21586095499727,Ideal
36.492420599481164,73.6113346592783,Ideal
36.41944904322297,74.27848234053143,Ideal
36.06233134060163,74.15109932283495,Ideal
36.46042094130868,71.98591764809227,Ideal
36.43494818103106,73.34042568285324,Ideal
36.25941902856304,71.0249214770791,Ideal
36.29563771787247,71.46573865130506,Ideal
36.19950135193506,74.4816790926056,Ideal
36.027380819411015,70.06500961755368,Ideal
36.16759862082295,70.42754265427234,Ideal
36.40142672429901,71.03943127573014,Ideal
36.0023160115023,70.1326610193691,Ideal
36.16674958584557,70.907177175449,Ideal
36.19908434679547,72.91520780484846,Ideal
36.26869780146896,72.1071227529625,Ideal
36.45992780820638,74.46335855538487,Ideal
36.17317299718298,74.0872178086922,Ideal
36.17347660094811,71.70908675848938,Ideal
36.368750624054876,71.29711716715646,Ideal
36.226108970444905,71.89846204083634,Ideal
36.11230241146999,72.95147471257404,Ideal
36.22621975806635,71.34031820411438,Ideal
36.0704285101899,73.12074453924566,Ideal
36.088193493253115,72.0470582609562,Ideal
36.24918388636974,72.7602359042599,Ideal
36.20946272475227,72.18063264567658,Ideal
36.45742295053405,71.4723287977096,Ideal
36.18119694955832,74.74226653481078,Ideal
36.290294175139024,73.8180289707988,Ideal
36.31613214395976,70.70056587883226,Ideal
36.00654722829417,74.34233987948956,Ideal
36.33176868600835,72.43715599124756,Ideal
36.08901798343488,74.47276113447046,Ideal
36.480535158734725,73.99927627973658,Ideal
36.07433136387656,72.12606752234616,Ideal
36.20731206186351,70.11234654160059,Ideal
36.042674834039325,71.34338679692473,Ideal
36.498437125922976,72.70817107330433,Ideal
36.251097505165625,73.16739109913074,Ideal
36.29769250866002,71.289438427166,Ideal
36.03353823869421,70.69678037036412,Ideal
36.37498023519959,74.1746511839965,Ideal
36.10495279654779,74.92201090351776,Ideal
36.449027144720354,72.62845091151343,Ideal
36.102569820241,70.85839642924152,Ideal
36.09534386033183,71.36153663259684,Ideal
36.018274833924046,70.09195338273733,Ideal
36.236033472555,74.57149403280249,Ideal
36.28242056663131,70.5887554144507,Ideal
36.032854319714176,72.88258237757127,Ideal
36.38776380834751,71.37027610343603,Ideal
36.22664441737401,72.77089001257897,Ideal
36.26219513466379,73.25710194175932,Ideal
36.22038137346912,74.14870901853601,Ideal
36.20038153043766,71.03210635880302,Ideal
36.27982016565411,70.0549791432924,Ideal
36.07762012296536,70.68442815034403,Ideal
36.09096406524763,74.50009320924053,Ideal
36.43089281050676,74.36945038781258,Ideal
36.47305773106682,72.98706551085154,Ideal
36.18665465813988,73.00258430216827,Ideal
36.13537233657178,73.32518337273127,Ideal
36.32199977161951,70.87685639311725,Ideal
36.204367085549045,74.5720597296248,Ideal
36.01269317783017,72.09385262446037,Ideal
36.078076298683094,71.91569264124749,Ideal
36.357986114423696,72.59458852641419,Ideal
36.32946197095507,70.23482983387528,Ideal
36.013547996251745,70.8314168437804,Ideal
36.11098608096648,73.69016808213185,Ideal
35.74323507550829,68.85196801543597,Non-Ideal
35.1159828807261,66.36748866415475,Non-Ideal
35.30160696883323,67.53048757253579,Non-Ideal
35.669157430662445,68.72811242204007,Non-Ideal
35.144683906443476,65.41003891196272,Non-Ideal
35.73617032170716,68.7489139489458,Non-Ideal
35.748920760161965,67.75154288920325,Non-Ideal
35.45672096038475,65.27134823642069,Non-Ideal
35.00574728454515,66.20385426778726,Non-Ideal
35.25833431985742,67.83268835458112,Non-Ideal
35.55523422653817,65.26940240587508,Non-Ideal
35.88306756022468,67.32868184070509,Non-Ideal
35.568632174315,66.38353222781183,Non-Ideal
35.233823222957746,67.48366207106992,Non-Ideal
35.57060513278965,65.18296813525005,Non-Ideal
35.48598684174427,68.48614722460951,Non-Ideal
35.70186085563603,68.89395587670958,Non-Ideal
35.09628257494426,68.87551142114276,Non-Ideal
35.684925112251825,67.9986073269717,Non-Ideal
35.487139920808495,65.52034496052252,Non-Ideal
